coefficient,wake_iter,value,reference_wake_iter,reference_value,difference_from_reference,relative_difference_from_reference
CMl_p,40,-0.6658114,50,-0.6670631,0.0012516999999999667,-0.001876434178415755
CMl_p,50,-0.6670631,50,-0.6670631,0.0,-0.0
CMn_Beta,5,0.0094573,50,0.0333321,-0.0238748,-0.7162705020085743
CMn_Beta,6,0.0323078,50,0.0333321,-0.0010243000000000058,-0.030730137015069728
CMn_Beta,7,0.0399284,50,0.0333321,0.006596299999999999,0.19789632216392003
CMn_Beta,9,0.02577,50,0.0333321,-0.007562100000000002,-0.22687139424158698
CMn_Beta,12,0.0324224,50,0.0333321,-0.0009097000000000063,-0.02729200980436295
CMn_Beta,17,0.0349195,50,0.0333321,0.0015873999999999958,0.047623762079196795
CMn_Beta,21,0.0347991,50,0.0333321,0.001466999999999996,0.0440116284302518
CMn_Beta,25,0.0338775,50,0.0333321,0.0005453999999999945,0.01636260541640024
CMn_Beta,29,0.0329172,50,0.0333321,-0.00041490000000000277,-0.012447460556040655
CMn_Beta,32,0.0334566,50,0.0333321,0.0001244999999999996,0.0037351382001133923
CMn_Beta,38,0.0331725,50,0.0333321,-0.0001596000000000028,-0.004788177162555098
CMn_Beta,40,0.0355092,50,0.0333321,0.0021770999999999943,0.06531541667041663
CMn_Beta,50,0.0333321,50,0.0333321,0.0,0.0
CMn_r,5,-0.0346256,50,-0.0380243,0.0033986999999999976,-0.08938231604526574
CMn_r,6,-0.0343714,50,-0.0380243,0.0036528999999999937,-0.0960675147208494
CMn_r,7,-0.035757,50,-0.0380243,0.0022673,-0.05962765915480364
CMn_r,9,-0.0325241,50,-0.0380243,0.005500199999999997,-0.14464960564691517
CMn_r,12,-0.0362918,50,-0.0380243,0.001732499999999998,-0.04556296894354395
CMn_r,17,-0.0406322,50,-0.0380243,-0.0026079000000000033,0.06858508900887074
CMn_r,21,-0.0417649,50,-0.0380243,-0.0037406000000000036,0.09837393456289804
CMn_r,25,-0.0413127,50,-0.0380243,-0.003288400000000004,0.08648153943662353
CMn_r,29,-0.0406483,50,-0.0380243,-0.0026240000000000013,0.06900850245763897
CMn_r,32,-0.0383183,50,-0.0380243,-0.0002940000000000026,0.007731897760116626
CMn_r,38,-0.0405214,50,-0.0380243,-0.002497100000000002,0.06567116291424174
CMn_r,40,-0.0400265,50,-0.0380243,-0.0020022000000000026,0.05265580168471222
CMn_r,50,-0.0380243,50,-0.0380243,0.0,-0.0
CS_Beta,5,-0.1123936,50,-0.1999655,0.0875719,-0.43793504379505466
CS_Beta,6,-0.1788354,50,-0.1999655,0.021130099999999985,-0.10566872785555502
CS_Beta,7,-0.2163288,50,-0.1999655,-0.016363299999999997,0.08183061578122225
CS_Beta,9,-0.1710557,50,-0.1999655,0.028909799999999986,-0.1445739390044782
CS_Beta,12,-0.1949351,50,-0.1999655,0.0050303999999999904,-0.02515633946855828
CS_Beta,17,-0.2062743,50,-0.1999655,-0.006308800000000003,0.03154944227879311
CS_Beta,21,-0.204217,50,-0.1999655,-0.004251500000000019,0.021261167551402713
CS_Beta,25,-0.2012943,50,-0.1999655,-0.0013288000000000189,0.006645146287734729
CS_Beta,29,-0.1975684,50,-0.1999655,0.0023970999999999854,-0.011987567855454993
CS_Beta,32,-0.1999416,50,-0.1999655,2.389999999999337e-05,-0.00011952061730645222
CS_Beta,38,-0.1990036,50,-0.1999655,0.0009618999999999878,-0.004810329781887315
