case,case_index,case_count,Vv,tip_deflection,case_dir,gamma_semispan,vsp3_path,deflection_csv_path,stab_path,passed,vspaero_passed,error
vv_0p00550_wtip_0p70000,247,286,0.0055,0.7,vv_0p00550_wtip_0p70000,13.5,vv_0p00550_wtip_0p70000\vv_0p00550_wtip_0p70000.vsp3,vv_0p00550_wtip_0p70000\vv_0p00550_wtip_0p70000_deflection.csv,vv_0p00550_wtip_0p70000\vv_0p00550_wtip_0p70000.stab,True,True,
vv_0p00550_wtip_0p80000,248,286,0.0055,0.8,vv_0p00550_wtip_0p80000,13.5,vv_0p00550_wtip_0p80000\vv_0p00550_wtip_0p80000.vsp3,vv_0p00550_wtip_0p80000\vv_0p00550_wtip_0p80000_deflection.csv,vv_0p00550_wtip_0p80000\vv_0p00550_wtip_0p80000.stab,True,True,
vv_0p00550_wtip_0p90000,249,286,0.0055,0.9,vv_0p00550_wtip_0p90000,13.5,vv_0p00550_wtip_0p90000\vv_0p00550_wtip_0p90000.vsp3,vv_0p00550_wtip_0p90000\vv_0p00550_wtip_0p90000_deflection.csv,vv_0p00550_wtip_0p90000\vv_0p00550_wtip_0p90000.stab,True,True,
vv_0p00550_wtip_1p00000,250,286,0.0055,1.0,vv_0p00550_wtip_1p00000,13.5,vv_0p00550_wtip_1p00000\vv_0p00550_wtip_1p00000.vsp3,vv_0p00550_wtip_1p00000\vv_0p00550_wtip_1p00000_deflection.csv,vv_0p00550_wtip_1p00000\vv_0p00550_wtip_1p00000.stab,True,True,
vv_0p00550_wtip_1p10000,251,286,0.0055,1.1,vv_0p00550_wtip_1p10000,13.5,vv_0p00550_wtip_1p10000\vv_0p00550_wtip_1p10000.vsp3,vv_0p00550_wtip_1p10000\vv_0p00550_wtip_1p10000_deflection.csv,vv_0p00550_wtip_1p10000\vv_0p00550_wtip_1p10000.stab,True,True,
vv_0p00550_wtip_1p20000,252,286,0.0055,1.2,vv_0p00550_wtip_1p20000,13.5,vv_0p00550_wtip_1p20000\vv_0p00550_wtip_1p20000.vsp3,vv_0p00550_wtip_1p20000\vv_0p00550_wtip_1p20000_deflection.csv,vv_0p00550_wtip_1p20000\vv_0p00550_wtip_1p20000.stab,True,True,
vv_0p00550_wtip_1p30000,253,286,0.0055,1.3,vv_0p00550_wtip_1p30000,13.5,vv_0p00550_wtip_1p30000\vv_0p00550_wtip_1p30000.vsp3,vv_0p00550_wtip_1p30000\vv_0p00550_wtip_1p30000_deflection.csv,vv_0p00550_wtip_1p30000\vv_0p00550_wtip_1p30000.stab,True,True,
vv_0p00550_wtip_1p40000,254,286,0.0055,1.4,vv_0p00550_wtip_1p40000,13.5,vv_0p00550_wtip_1p40000\vv_0p00550_wtip_1p40000.vsp3,vv_0p00550_wtip_1p40000\vv_0p00550_wtip_1p40000_deflection.csv,vv_0p00550_wtip_1p40000\vv_0p00550_wtip_1p40000.stab,True,True,
vv_0p00550_wtip_1p50000,255,286,0.0055,1.5,vv_0p00550_wtip_1p50000,13.5,vv_0p00550_wtip_1p50000\vv_0p00550_wtip_1p50000.vsp3,vv_0p00550_wtip_1p50000\vv_0p00550_wtip_1p50000_deflection.csv,vv_0p00550_wtip_1p50000\vv_0p00550_wtip_1p50000.stab,True,True,
vv_0p00550_wtip_1p60000,256,286,0.0055,1.6,vv_0p00550_wtip_1p60000,13.5,vv_0p00550_wtip_1p60000\vv_0p00550_wtip_1p60000.vsp3,vv_0p00550_wtip_1p60000\vv_0p00550_wtip_1p60000_deflection.csv,vv_0p00550_wtip_1p60000\vv_0p00550_wtip_1p60000.stab,True,True,
vv_0p00550_wtip_1p70000,257,286,0.0055,1.7,vv_0p00550_wtip_1p70000,13.5,vv_0p00550_wtip_1p70000\vv_0p00550_wtip_1p70000.vsp3,vv_0p00550_wtip_1p70000\vv_0p00550_wtip_1p70000_deflection.csv,vv_0p00550_wtip_1p70000\vv_0p00550_wtip_1p70000.stab,True,True,
vv_0p00550_wtip_1p80000,258,286,0.0055,1.8,vv_0p00550_wtip_1p80000,13.5,vv_0p00550_wtip_1p80000\vv_0p00550_wtip_1p80000.vsp3,vv_0p00550_wtip_1p80000\vv_0p00550_wtip_1p80000_deflection.csv,vv_0p00550_wtip_1p80000\vv_0p00550_wtip_1p80000.stab,True,True,
vv_0p00550_wtip_1p90000,259,286,0.0055,1.9,vv_0p00550_wtip_1p90000,13.5,vv_0p00550_wtip_1p90000\vv_0p00550_wtip_1p90000.vsp3,vv_0p00550_wtip_1p90000\vv_0p00550_wtip_1p90000_deflection.csv,vv_0p00550_wtip_1p90000\vv_0p00550_wtip_1p90000.stab,True,True,
vv_0p00550_wtip_2p00000,260,286,0.0055,2.0,vv_0p00550_wtip_2p00000,13.5,vv_0p00550_wtip_2p00000\vv_0p00550_wtip_2p00000.vsp3,vv_0p00550_wtip_2p00000\vv_0p00550_wtip_2p00000_deflection.csv,vv_0p00550_wtip_2p00000\vv_0p00550_wtip_2p00000.stab,True,True,
vv_0p00600_wtip_0p00000,261,286,0.006,0.0,vv_0p00600_wtip_0p00000,13.5,vv_0p00600_wtip_0p00000\vv_0p00600_wtip_0p00000.vsp3,vv_0p00600_wtip_0p00000\vv_0p00600_wtip_0p00000_deflection.csv,vv_0p00600_wtip_0p00000\vv_0p00600_wtip_0p00000.stab,True,True,
vv_0p00600_wtip_0p10000,262,286,0.006,0.1,vv_0p00600_wtip_0p10000,13.5,vv_0p00600_wtip_0p10000\vv_0p00600_wtip_0p10000.vsp3,vv_0p00600_wtip_0p10000\vv_0p00600_wtip_0p10000_deflection.csv,vv_0p00600_wtip_0p10000\vv_0p00600_wtip_0p10000.stab,True,True,
vv_0p00600_wtip_0p20000,264,286,0.006,0.2,vv_0p00600_wtip_0p20000,13.5,vv_0p00600_wtip_0p20000\vv_0p00600_wtip_0p20000.vsp3,vv_0p00600_wtip_0p20000\vv_0p00600_wtip_0p20000_deflection.csv,vv_0p00600_wtip_0p20000\vv_0p00600_wtip_0p20000.stab,True,True,
vv_0p00600_wtip_0p30000,265,286,0.006,0.3,vv_0p00600_wtip_0p30000,13.5,vv_0p00600_wtip_0p30000\vv_0p00600_wtip_0p30000.vsp3,vv_0p00600_wtip_0p30000\vv_0p00600_wtip_0p30000_deflection.csv,vv_0p00600_wtip_0p30000\vv_0p00600_wtip_0p30000.stab,True,True,
vv_0p00600_wtip_0p40000,267,286,0.006,0.4,vv_0p00600_wtip_0p40000,13.5,vv_0p00600_wtip_0p40000\vv_0p00600_wtip_0p40000.vsp3,vv_0p00600_wtip_0p40000\vv_0p00600_wtip_0p40000_deflection.csv,vv_0p00600_wtip_0p40000\vv_0p00600_wtip_0p40000.stab,True,True,
vv_0p00600_wtip_0p50000,269,286,0.006,0.5,vv_0p00600_wtip_0p50000,13.5,vv_0p00600_wtip_0p50000\vv_0p00600_wtip_0p50000.vsp3,vv_0p00600_wtip_0p50000\vv_0p00600_wtip_0p50000_deflection.csv,vv_0p00600_wtip_0p50000\vv_0p00600_wtip_0p50000.stab,True,True,
vv_0p00600_wtip_0p60000,271,286,0.006,0.6,vv_0p00600_wtip_0p60000,13.5,vv_0p00600_wtip_0p60000\vv_0p00600_wtip_0p60000.vsp3,vv_0p00600_wtip_0p60000\vv_0p00600_wtip_0p60000_deflection.csv,vv_0p00600_wtip_0p60000\vv_0p00600_wtip_0p60000.stab,True,True,
vv_0p00600_wtip_0p70000,273,286,0.006,0.7,vv_0p00600_wtip_0p70000,13.5,vv_0p00600_wtip_0p70000\vv_0p00600_wtip_0p70000.vsp3,vv_0p00600_wtip_0p70000\vv_0p00600_wtip_0p70000_deflection.csv,vv_0p00600_wtip_0p70000\vv_0p00600_wtip_0p70000.stab,True,True,
vv_0p00600_wtip_0p80000,274,286,0.006,0.8,vv_0p00600_wtip_0p80000,13.5,vv_0p00600_wtip_0p80000\vv_0p00600_wtip_0p80000.vsp3,vv_0p00600_wtip_0p80000\vv_0p00600_wtip_0p80000_deflection.csv,vv_0p00600_wtip_0p80000\vv_0p00600_wtip_0p80000.stab,True,True,
vv_0p00600_wtip_0p90000,275,286,0.006,0.9,vv_0p00600_wtip_0p90000,13.5,vv_0p00600_wtip_0p90000\vv_0p00600_wtip_0p90000.vsp3,vv_0p00600_wtip_0p90000\vv_0p00600_wtip_0p90000_deflection.csv,vv_0p00600_wtip_0p90000\vv_0p00600_wtip_0p90000.stab,True,True,
vv_0p00600_wtip_1p00000,276,286,0.006,1.0,vv_0p00600_wtip_1p00000,13.5,vv_0p00600_wtip_1p00000\vv_0p00600_wtip_1p00000.vsp3,vv_0p00600_wtip_1p00000\vv_0p00600_wtip_1p00000_deflection.csv,vv_0p00600_wtip_1p00000\vv_0p00600_wtip_1p00000.stab,True,True,
vv_0p00600_wtip_1p10000,277,286,0.006,1.1,vv_0p00600_wtip_1p10000,13.5,vv_0p00600_wtip_1p10000\vv_0p00600_wtip_1p10000.vsp3,vv_0p00600_wtip_1p10000\vv_0p00600_wtip_1p10000_deflection.csv,vv_0p00600_wtip_1p10000\vv_0p00600_wtip_1p10000.stab,True,True,
vv_0p00600_wtip_1p20000,278,286,0.006,1.2,vv_0p00600_wtip_1p20000,13.5,vv_0p00600_wtip_1p20000\vv_0p00600_wtip_1p20000.vsp3,vv_0p00600_wtip_1p20000\vv_0p00600_wtip_1p20000_deflection.csv,vv_0p00600_wtip_1p20000\vv_0p00600_wtip_1p20000.stab,True,True,
vv_0p00600_wtip_1p30000,279,286,0.006,1.3,vv_0p00600_wtip_1p30000,13.5,vv_0p00600_wtip_1p30000\vv_0p00600_wtip_1p30000.vsp3,vv_0p00600_wtip_1p30000\vv_0p00600_wtip_1p30000_deflection.csv,vv_0p00600_wtip_1p30000\vv_0p00600_wtip_1p30000.stab,True,True,
vv_0p00600_wtip_1p40000,280,286,0.006,1.4,vv_0p00600_wtip_1p40000,13.5,vv_0p00600_wtip_1p40000\vv_0p00600_wtip_1p40000.vsp3,vv_0p00600_wtip_1p40000\vv_0p00600_wtip_1p40000_deflection.csv,vv_0p00600_wtip_1p40000\vv_0p00600_wtip_1p40000.stab,True,True,
vv_0p00600_wtip_1p50000,281,286,0.006,1.5,vv_0p00600_wtip_1p50000,13.5,vv_0p00600_wtip_1p50000\vv_0p00600_wtip_1p50000.vsp3,vv_0p00600_wtip_1p50000\vv_0p00600_wtip_1p50000_deflection.csv,vv_0p00600_wtip_1p50000\vv_0p00600_wtip_1p50000.stab,True,True,
vv_0p00600_wtip_1p60000,282,286,0.006,1.6,vv_0p00600_wtip_1p60000,13.5,vv_0p00600_wtip_1p60000\vv_0p00600_wtip_1p60000.vsp3,vv_0p00600_wtip_1p60000\vv_0p00600_wtip_1p60000_deflection.csv,vv_0p00600_wtip_1p60000\vv_0p00600_wtip_1p60000.stab,True,True,
vv_0p00600_wtip_1p70000,283,286,0.006,1.7,vv_0p00600_wtip_1p70000,13.5,vv_0p00600_wtip_1p70000\vv_0p00600_wtip_1p70000.vsp3,vv_0p00600_wtip_1p70000\vv_0p00600_wtip_1p70000_deflection.csv,vv_0p00600_wtip_1p70000\vv_0p00600_wtip_1p70000.stab,True,True,
vv_0p00600_wtip_1p80000,284,286,0.006,1.8,vv_0p00600_wtip_1p80000,13.5,vv_0p00600_wtip_1p80000\vv_0p00600_wtip_1p80000.vsp3,vv_0p00600_wtip_1p80000\vv_0p00600_wtip_1p80000_deflection.csv,vv_0p00600_wtip_1p80000\vv_0p00600_wtip_1p80000.stab,True,True,
vv_0p00600_wtip_1p90000,285,286,0.006,1.9,vv_0p00600_wtip_1p90000,13.5,vv_0p00600_wtip_1p90000\vv_0p00600_wtip_1p90000.vsp3,vv_0p00600_wtip_1p90000\vv_0p00600_wtip_1p90000_deflection.csv,vv_0p00600_wtip_1p90000\vv_0p00600_wtip_1p90000.stab,True,True,
vv_0p00600_wtip_2p00000,286,286,0.006,2.0,vv_0p00600_wtip_2p00000,13.5,vv_0p00600_wtip_2p00000\vv_0p00600_wtip_2p00000.vsp3,vv_0p00600_wtip_2p00000\vv_0p00600_wtip_2p00000_deflection.csv,vv_0p00600_wtip_2p00000\vv_0p00600_wtip_2p00000.stab,True,True,
