coefficient,wake_iter,value,reference_wake_iter,reference_value,difference_from_reference,relative_difference_from_reference
CMn_r,8,-0.0116042,20,-0.011566,-3.8200000000000386e-05,0.003302784022133874
CMn_r,9,-0.011601,20,-0.011566,-3.500000000000031e-05,0.0030261110150441215
CMn_r,10,-0.0116147,20,-0.011566,-4.870000000000048e-05,0.00421061732664711
CMn_r,12,-0.0115874,20,-0.011566,-2.1399999999999544e-05,0.0018502507349126356
CMn_r,15,-0.0115592,20,-0.011566,6.799999999999515e-06,-0.0005879301400656679
CMn_r,20,-0.011566,20,-0.011566,0.0,-0.0
CS_Beta,3,-0.1421609,20,-0.136717,-0.0054439000000000015,0.039818749679995914
CS_Beta,4,-0.1317596,20,-0.136717,0.004957400000000001,-0.03626030413189289
CS_Beta,5,-0.1379162,20,-0.136717,-0.0011991999999999836,0.008771403702538701
CS_Beta,6,-0.1367234,20,-0.136717,-6.399999999989747e-06,4.681202776530897e-05
CS_Beta,7,-0.1367051,20,-0.136717,1.1900000000009126e-05,-8.704111412632757e-05
CS_Beta,8,-0.1367866,20,-0.136717,-6.960000000000299e-05,0.0005090808019485725
CS_Beta,9,-0.1366973,20,-0.136717,1.9700000000011375e-05,-0.00014409327296540574
CS_Beta,10,-0.1369612,20,-0.136717,-0.00024419999999999997,0.0017861714344229317
CS_Beta,12,-0.1367556,20,-0.136717,-3.8599999999999746e-05,0.0002823350424599702
CS_Beta,15,-0.1367231,20,-0.136717,-6.0999999999811205e-06,4.46177139637435e-05
CS_Beta,20,-0.136717,20,-0.136717,0.0,-0.0
CMl_ConGrp_3,3,0.0064406,20,0.0002385,0.0062021,26.00461215932914
CMl_ConGrp_3,4,-0.0037321,20,0.0002385,-0.0039705999999999995,-16.648218029350105
CMl_ConGrp_3,5,0.0001115,20,0.0002385,-0.000127,-0.5324947589098532
CMl_ConGrp_3,6,0.0002606,20,0.0002385,2.2099999999999995e-05,0.09266247379454924
CMl_ConGrp_3,7,0.0003156,20,0.0002385,7.709999999999998e-05,0.32327044025157226
CMl_ConGrp_3,8,0.0002942,20,0.0002385,5.57e-05,0.23354297693920334
CMl_ConGrp_3,9,0.0001892,20,0.0002385,-4.9300000000000006e-05,-0.2067085953878407
CMl_ConGrp_3,10,0.0002375,20,0.0002385,-9.999999999999972e-07,-0.004192872117400407
CMl_ConGrp_3,12,0.0002215,20,0.0002385,-1.7000000000000007e-05,-0.07127882599580716
CMl_ConGrp_3,15,0.0002521,20,0.0002385,1.3600000000000005e-05,0.05702306079664572
CMl_ConGrp_3,20,0.0002385,20,0.0002385,0.0,0.0
CMn_ConGrp_3,3,-0.0108108,20,-0.0106067,-0.00020410000000000046,0.019242554234587615
CMn_ConGrp_3,4,-0.0106921,20,-0.0106067,-8.539999999999937e-05,0.008051514608690673
CMn_ConGrp_3,5,-0.0105918,20,-0.0106067,1.4899999999999983e-05,-0.0014047724551462738
CMn_ConGrp_3,6,-0.010604,20,-0.0106067,2.6999999999995777e-06,-0.0002545560824761309
CMn_ConGrp_3,7,-0.0106101,20,-0.0106067,-3.4000000000006247e-06,0.00032055210385894053
CMn_ConGrp_3,8,-0.0106061,20,-0.0106067,5.999999999999062e-07,-5.656801832802909e-05
CMn_ConGrp_3,9,-0.0106042,20,-0.0106067,2.5000000000007655e-06,-0.00023570007636689692
CMn_ConGrp_3,10,-0.0106078,20,-0.0106067,-1.1000000000004062e-06,0.00010370803360144119
CMn_ConGrp_3,12,-0.0106062,20,-0.0106067,5.000000000005e-07,-4.714001527341209e-05
CMn_ConGrp_3,15,-0.0106072,20,-0.0106067,-5.000000000005e-07,4.714001527341209e-05
CMn_ConGrp_3,20,-0.0106067,20,-0.0106067,0.0,-0.0
